type,key,label,candidateCount,sampleAnswers
contains_letters,contains_letters:ahp,A と H と P をすべて含む単語,19824,"abbotship, abbotships, papaphobist, phthisiophobia, posthabit, sitiophobia, sitophobia, stasiphobia, stasophobia, abepithymia, amphibiety, abigailship"
contains_letters,contains_letters:chr,C と H と R をすべて含む単語,19756,"abbroachment, carbomethene, chronobarometer, abdominohysterectomy, abdominothoracic, rhabdomantic, abhorrence, archbeacon, bronchorrhea, nonbreach, orobanchaceae, orobanche"
contains_letters,contains_letters:cpt,C と P と T をすべて含む単語,19709,"abiotrophic, batrachophobia, ophiobatrachia, trichopathophobia, trichophobia, ableptical, battlepiece, biplicate, ableptically, acceptability, peccability, absorptance"
contains_letters,contains_letters:hu,H と U をすべて含む単語,19580,"abelmoschus, ablepharous, sphaerobolus, ablepharus, pearlbush, ablush, subhall, abouchement, abought, abranchious, branchiosaur, branchiosauria"
contains_letters,contains_letters:any,A と N と Y をすべて含む単語,19564,"abactinally, cannibality, incitability, abandonedly, abdominally, abdominocystic, abdominohysterectomy, abdominohysterotomy, abdominoscopy, abeyance, abeyancy, abeyances"
contains_letters,contains_letters:hy,H と Y をすべて含む単語,19477,"abayah, bahay, abashedly, shadbelly, abashlessly, bashyle, abdominohysterectomy, abdominohysterotomy, abepithymia, amphibiety, abernethy, abhenry"
contains_letters,contains_letters:rv,R と V をすべて含む単語,19430,"aardvark, aardvarks, aardwolves, abbrev, beaver, bebrave, bereave, bereaver, berreave, brave, braver, breva"
contains_letters,contains_letters:rty,R と T と Y をすべて含む単語,19357,"abbreviately, irretrievability, irretrievably, rebarbatively, retrievability, retrievably, revealability, revelability, revivability, travelability, travellability, verbality"
contains_letters,contains_letters:clu,C と L と U をすべて含む単語,19217,"abaculi, abulic, albiculi, baculi, cabilliau, cubical, cubicula, abaculus, baculus, subclass, subclausal, subucula"
contains_letters,contains_letters:ehp,E と H と P をすべて含む単語,19061,"abepithymia, amphibiety, ablepharia, ablepharon, balanophore, blepharoblennorrhea, ablepharous, sphaerobolus, ablepharus, pearlbush, absenteeship, academicianship"
contains_letters,contains_letters:eny,E と N と Y をすべて含む単語,18974,"abandonedly, abdominohysterectomy, abdominohysterotomy, abeyance, abeyancy, abeyances, abeyancies, biscayen, abeyant, abernethy, aberrancy, cranberry"
contains_letters,contains_letters:ben,B と E と N をすべて含む単語,18935,"abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abadengo, bondage, dogbane, abaisance, becassine"
contains_letters,contains_letters:acd,A と C と D をすべて含む単語,18892,"abdicable, bacillicide, cablelaid, decidable, abdicant, abdicate, abdicated, batidaceae, diabetic, abdicates, diabetics, abdicating"
contains_letters,contains_letters:bes,B と E と S をすべて含む単語,18858,"abacuses, because, besauce, subcase, subcause, subcauses, succubae, abaisance, becassine, beisance, benincasa, bienseance"
contains_letters,contains_letters:dh,D と H をすべて含む単語,18854,"aahed, ahead, deadhead, deadheaded, hade, haded, haed, head, headed, ababdeh, beehead, beeheaded"
contains_letters,contains_letters:dlo,D と L と O をすべて含む単語,18813,"aardwolf, floorward, forwardal, waldorf, wolfward, aardwolves, abandonable, ballooned, belladonna, bladebone, bondable, denebola"
contains_letters,contains_letters:lnp,L と N と P をすべて含む単語,18788,"ablepharon, balanophore, blepharoblennorrhea, absorptional, proabolitionist, acalephan, acephalan, encephala, epencephal, epencephala, neencephala, paleencephala"
contains_letters,contains_letters:lry,L と R と Y をすべて含む単語,18741,"abbreviately, irretrievability, irretrievably, rebarbatively, retrievability, retrievably, revealability, revelability, revivability, travelability, travellability, verbality"
contains_letters,contains_letters:bil,B と I と L をすべて含む単語,18621,"abacli, baccilla, baccilli, baccillla, bacilli, balaic, biblical, cabalic, abacterial, bacterial, bicalcarate, calibrate"
contains_letters,contains_letters:dst,D と S と T をすべて含む単語,18480,"abandonments, abastard, bastaard, bastard, bastarda, bastards, tabards, abastardize, bastardize, bastardized, bastardizes, abatised"
contains_letters,contains_letters:dln,D と L と N をすべて含む単語,18461,"abalienated, alabandite, bidental, bidentalia, bidential, bilineated, debilitant, dentilabial, detainable, teindable, abandonable, ballooned"
